order_id,order_date,shipping_date,status,quantity,unit_price,payment_method,customer_id,customer_name,customer_email,customer_city,customer_state,product_id,product_name,category,supplier,review
321,2025-07-08T05:23:44.000-03:00,2025-07-11T05:23:44.000-03:00,Entregue,4,149.9,Boleto,927,Júlia Freitas,ana-lauragomes@example.org,Gonçalves das Pedras,SP,10,Engenharia de Dados,Livros,Livraria Central,Qualidade ruim
530,2025-02-04T18:10:38.000-03:00,2025-02-05T18:10:38.000-03:00,Entregue,1,149.9,Pix,102,Kaique Rios,rdias@example.org,Nascimento da Prata,PR,10,Engenharia de Dados,Livros,Livraria Central,"Muito bom, recomendo"
580,2025-04-24T06:59:08.000-03:00,2025-05-01T06:59:08.000-03:00,Entregue,1,149.9,Pix,971,Maria Isis Abreu,nvasconcelos@example.org,Duarte,PR,10,Engenharia de Dados,Livros,Livraria Central,Entrega atrasada
613,2025-04-21T09:59:15.000-03:00,2025-04-22T09:59:15.000-03:00,Entregue,3,149.9,Pix,895,Dr. Rael Alves,carvalhobento@example.org,da Costa,PR,10,Engenharia de Dados,Livros,Livraria Central,Excelente atendimento
762,2025-11-04T01:56:27.000-03:00,2025-11-06T01:56:27.000-03:00,Entregue,4,149.9,Cartão de crédito,707,Theo Duarte,marcela41@example.net,Cardoso,RJ,10,Engenharia de Dados,Livros,Livraria Central,Não recomendo
2342,2025-07-04T07:28:02.000-03:00,2025-07-07T07:28:02.000-03:00,Entregue,4,149.9,Cartão de crédito,281,Dr. José Pedro da Luz,rebeca25@example.com,Abreu,CE,10,Engenharia de Dados,Livros,Livraria Central,Produto chegou antes do esperado
2606,2025-07-05T16:23:52.000-03:00,2025-07-10T16:23:52.000-03:00,Entregue,3,149.9,Pix,412,Marcela Mendes,aylamontenegro@example.com,Cunha,GO,10,Engenharia de Dados,Livros,Livraria Central,Excelente atendimento
3042,2025-06-06T22:13:11.000-03:00,2025-06-10T22:13:11.000-03:00,Em trânsito,1,149.9,Boleto,474,Dr. Pietro Guerra,blima@example.org,Sousa,CE,10,Engenharia de Dados,Livros,Livraria Central,"Muito bom, recomendo"
3844,2025-07-08T05:36:21.000-03:00,2025-07-12T05:36:21.000-03:00,Entregue,1,149.9,Pix,783,Matheus Duarte,da-cunhaerick@example.org,Cirino,SP,10,Engenharia de Dados,Livros,Livraria Central,Qualidade ruim
4126,2025-10-21T00:07:04.000-03:00,2025-10-25T00:07:04.000-03:00,Entregue,2,149.9,Boleto,369,Sra. Emilly Pimenta,aabreu@example.org,Duarte de Macedo,SP,10,Engenharia de Dados,Livros,Livraria Central,Entrega atrasada
4208,2025-09-29T02:05:25.000-03:00,2025-09-30T02:05:25.000-03:00,Em trânsito,2,149.9,Cartão de crédito,92,Letícia Albuquerque,luiz-felipe66@example.org,da Conceição,RS,10,Engenharia de Dados,Livros,Livraria Central,"Muito bom, recomendo"
4401,2025-03-25T14:27:16.000-03:00,2025-04-01T14:27:16.000-03:00,Entregue,2,149.9,Boleto,71,Emilly Rodrigues,carvalhohenry@example.com,Moura,SC,10,Engenharia de Dados,Livros,Livraria Central,Produto chegou antes do esperado
4684,2025-12-22T03:24:01.000-03:00,2025-12-25T03:24:01.000-03:00,Entregue,3,149.9,Boleto,768,Luiz Felipe Silva,cramos@example.com,Santos,PE,10,Engenharia de Dados,Livros,Livraria Central,Entrega atrasada
4929,2025-01-22T06:16:54.000-03:00,2025-01-26T06:16:54.000-03:00,Em trânsito,3,149.90000000000998,Cartão de crédito,564,Théo Moreira,fda-cruz@example.org,Barbosa,SP,10,Engenharia de Dados,Livros,Livraria Central,Entrega atrasada
